AÑO,MES,DISTRITO,FUEGOS,DAÑOS EN CONSTRUCCION,SALVAMENTOS Y RESCATES,DAÑOS POR AGUA,INCIDENTES DIVERSOS,SALIDAS SIN INTERVENCION,SERVICIOS VARIOS,TOTAL
2020,Febrero,USERA,12.0,1.0,8.0,7.0,8.0,2.0,2.0,40.0
2020,Febrero,PUENTE VALLECAS,35.0,2.0,27.0,8.0,22.0,7.0,2.0,103.0
2020,Febrero,MORATALAZ,8.0,0.0,9.0,3.0,7.0,4.0,2.0,33.0
2020,Febrero,CIUDAD LINEAL,21.0,2.0,15.0,4.0,24.0,2.0,1.0,69.0
2020,Febrero,HORTALEZA,10.0,3.0,18.0,2.0,11.0,5.0,6.0,55.0
2020,Febrero,VILLAVERDE,25.0,1.0,8.0,5.0,16.0,5.0,7.0,67.0
2020,Febrero,VILLA DE VALLECAS,26.0,2.0,12.0,4.0,11.0,6.0,0.0,61.0
2020,Febrero,VICALVARO,12.0,1.0,4.0,1.0,7.0,4.0,1.0,30.0
2020,Febrero,SAN BLAS,11.0,6.0,11.0,3.0,13.0,5.0,2.0,51.0
2020,Febrero,BARAJAS,10.0,1.0,3.0,6.0,6.0,3.0,2.0,31.0
2020,Enero,CENTRO,36.0,37.0,36.0,22.0,47.0,10.0,12.0,200.0
2020,Enero,ARGANZUELA,21.0,12.0,24.0,4.0,20.0,11.0,6.0,98.0
2020,Enero,RETIRO,9.0,11.0,9.0,8.0,25.0,4.0,1.0,67.0
2020,Enero,SALAMANCA,11.0,17.0,23.0,6.0,29.0,8.0,6.0,100.0
2020,Enero,CHAMARTIN,12.0,15.0,23.0,4.0,29.0,8.0,11.0,102.0
2020,Enero,TETUAN,20.0,19.0,31.0,9.0,43.0,4.0,7.0,133.0
2020,Enero,CHAMBERI,13.0,15.0,25.0,8.0,27.0,7.0,1.0,96.0
2020,Enero,FUENCARRAL,27.0,14.0,26.0,10.0,49.0,12.0,9.0,147.0
2020,Enero,MONCLOA,12.0,11.0,17.0,3.0,39.0,6.0,5.0,93.0
2020,Enero,LATINA,31.0,10.0,21.0,11.0,56.0,14.0,2.0,145.0
2020,Enero,CARABANCHEL,51.0,15.0,28.0,7.0,44.0,7.0,7.0,159.0
